timestamp,run_id,model,split,fit_seconds,pr_auc,roc_auc,precision,recall,f1,specificity,fpr,tp,fp,tn,fn,alerts_per_1000,fraud_amount_caught_pct,expected_cost,threshold
2026-09-24T08:05:05+00:00,56fd80ab1c074b92ab3c2c1075ee6698,dummy,stratified,0.04,0.0016565336152965019,0.5,0.0,0.0,0.0,1.0,0.0,0,0,56651,94,0.0,0.0,10066.630000000001,0.5
2026-09-24T08:05:15+00:00,834a7f03eb164934be64bf0e73d43408,logreg,stratified,0.74,0.7881784154723811,0.9827005363560464,0.05603164139749506,0.9042553191489362,0.10552451893234016,0.9747224232581949,0.025277576741805086,85,1432,55219,9,26.73363291919993,86.39316235920063,8954.75,0.5
2026-09-24T08:05:24+00:00,18a1b265ae0e421ea88d1aa496f1873b,iforest,stratified,1.18,0.1290826998472666,0.9463906854848856,0.08432147562582346,0.6808510638297872,0.15005861664712777,0.9877319023494731,0.01226809765052691,64,695,55956,30,13.3756278086175,70.2787328033314,6786.93,0.5
2026-09-24T08:05:30+00:00,e4e4333fe478414da7d4213b89017483,dummy,time,0.01,0.0010044937879989425,0.5,0.0,0.0,0.0,1.0,0.0,0,0,56688,57,0.0,0.0,12231.09,0.5
2026-09-24T08:05:37+00:00,6c2623cb65c74c40aeb4e8bc61ab4df3,logreg,time,0.63,0.7805725593588335,0.9759332090457586,0.03415300546448088,0.8771929824561403,0.06574621959237345,0.9750564493367203,0.024943550663279707,50,1414,55274,7,25.799629923341264,79.37297493518565,9842.91,0.5
2026-09-24T08:05:46+00:00,0f2306c5800d450e917814bd2e83d926,iforest,time,0.91,0.02313318505507621,0.940223432911944,0.03165584415584415,0.6842105263157895,0.06051202482544608,0.9789549816539656,0.021045018346034432,39,1193,55495,18,21.711163979205217,75.90631742551153,9106.92,0.5
2026-09-24T08:33:01+00:00,7add1a3966da40feae2da4fd7f3f1b24,xgb,stratified,3.16,0.8898815275443924,0.9806914076745373,0.9506172839506173,0.8191489361702128,0.8799999999999999,0.999929392243738,7.060775626202538e-05,77,4,56647,17,1.4274385408406027,70.68721111235834,3355.81,0.5
2026-09-24T08:33:15+00:00,67d57a1e488a4b1888599e8f5fc91acc,xgb_weighted,stratified,4.45,0.8887925609535987,0.9757847319740839,0.9310344827586207,0.8617021276595744,0.8950276243093922,0.999894088365607,0.00010591163439303807,81,6,56645,13,1.5331747290510178,80.8958906803965,2358.1400000000003,0.5
2026-09-24T08:33:30+00:00,1ece7288241a47dcbc59b9914e0189df,xgb_smote,stratified,7.8,0.8876261863995084,0.9749513351062891,0.8217821782178217,0.8829787234042553,0.8512820512820514,0.9996822650968209,0.00031773490317911425,83,18,56633,11,1.779892501541986,83.26272049335279,2189.88,0.5
2026-09-24T08:33:45+00:00,7fa44e7018674462ade69a1cd553244a,xgb_smote_10,stratified,4.59,0.8811464707849068,0.9769316385468775,0.9090909090909091,0.851063829787234,0.8791208791208791,0.999858784487476,0.00014121551252405077,80,8,56643,14,1.550797427086087,82.95179220851465,2156.1800000000003,0.5
2026-09-24T08:33:55+00:00,9ebc258dcec64d8c9e0b16b99777239f,xgb,time,3.66,0.7797835811238495,0.9831828017687458,0.9743589743589743,0.6666666666666666,0.7916666666666666,0.9999823595822749,1.764041772509173e-05,38,1,56687,19,0.6872852233676976,62.80658551282019,4744.16,0.5
2026-09-24T08:34:07+00:00,d3ea41f5deec4ea2b481baf72c158191,xgb_weighted,time,4.02,0.7880418165170134,0.980897284489802,0.9148936170212766,0.7543859649122807,0.8269230769230769,0.9999294383290996,7.056167090036692e-05,43,4,56684,14,0.828266807648251,63.41405385783278,4709.860000000001,0.5
2026-09-24T08:34:22+00:00,27f3907f5bdd414ebd02fcf0c88fc233,xgb_smote,time,7.51,0.7706038678268443,0.9548621942946556,0.82,0.7192982456140351,0.7663551401869159,0.9998412362404742,0.00015876375952582556,41,9,56679,16,0.8811349017534584,63.40587797162803,4725.860000000001,0.5
2026-09-24T08:34:32+00:00,0a4d4b9a6f274d14a9f6b922a0ad86cf,xgb_smote_10,time,3.74,0.777272128036744,0.9690060955380265,0.9130434782608695,0.7368421052631579,0.8155339805825242,0.9999294383290996,7.056167090036692e-05,42,4,56684,15,0.8106441096131818,63.41405385783278,4704.860000000001,0.5
2026-09-24T11:01:33+00:00,487ebf57942c4d11ba43a64704ed3d40,xgb_weighted,time,6.28,0.7880418165170134,0.980897284489802,0.9148936170212766,0.7543859649122807,0.8269230769230769,0.9999294383290996,7.056167090036692e-05,43,4,56684,14,0.828266807648251,63.41405385783278,4709.860000000001,0.5
2026-09-24T11:09:04+00:00,11f6b15e81f44bff9ba89b3039241955,xgb_weighted_tuned,stratified,7.9,0.8873392577289638,0.9775536816123507,0.9310344827586207,0.8617021276595744,0.8950276243093922,0.999894088365607,0.00010591163439303807,81,6,56645,13,1.5331747290510178,80.8958906803965,2358.1400000000003,0.5
2026-09-24T11:14:52+00:00,8bdb9ee71fd54d42836378d451957d20,xgb_tuned,stratified,2.95,0.8852216353278802,0.978165114735726,0.9512195121951219,0.8297872340425532,0.8863636363636364,0.999929392243738,7.060775626202538e-05,78,4,56647,16,1.4450612388756718,80.58396901445664,2364.54,0.5
